datetime,game_length,game_result,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2023-05-28 01:20:56,150,W+59.5,7,True,False,False,,-1,51.4408,0
2023-05-28 01:21:39,109,B+17.5,6,True,False,False,,-1,47.4232,0
2023-05-28 01:22:17,90,W+12.5,5,True,False,False,,-1,44.2298,0
2023-05-28 01:22:49,78,W+10.5,2,True,False,False,,-1,41.1875,0
2023-05-28 01:23:24,92,B+4.5,6,True,False,False,,-1,39.967,0
2023-05-28 01:23:54,71,B+1.5,3,True,False,False,,-1,38.2154,0
2023-05-28 01:24:24,74,W+4.5,2,True,False,False,,-1,37.064,0
2023-05-28 01:25:01,99,B+2.5,8,True,False,False,,-1,37.0703,0
2023-05-28 01:25:37,109,B+2.5,8,True,False,False,,-1,36.9,0
2023-05-28 01:26:21,115,B+26.5,4,True,False,False,,-1,37.6804,0
2023-05-28 01:27:02,103,B+7.5,5,True,False,False,,-1,37.9292,0
2023-05-28 01:27:44,113,B+23.5,3,True,False,False,,-1,38.304,0
2023-05-28 01:28:20,98,W+4.5,6,True,False,False,,-1,38.1465,0
2023-05-28 01:28:47,70,W+5.5,3,True,False,False,,-1,37.3449,0
2023-05-28 01:29:21,90,W+10.5,3,True,False,False,,-1,37.1144,0
2023-05-28 01:30:01,98,W+11.5,8,True,False,False,,-1,37.2539,0
2023-05-28 01:30:45,99,B+9.5,3,True,False,False,,-1,37.6812,0
2023-05-28 01:31:12,90,W+11.5,2,True,False,False,,-1,37.1046,0
2023-05-28 01:31:48,99,B+0.5,4,True,False,False,,-1,37.0069,0
2023-05-28 01:32:24,92,W+14.5,4,True,False,False,,-1,36.9905,0
2023-05-28 01:32:51,64,W+2.5,3,True,False,False,,-1,36.4741,0
2023-05-28 01:33:35,111,B+16.5,3,True,False,False,,-1,36.8161,0
2023-05-28 01:34:18,103,B+1.5,5,True,False,False,,-1,37.0863,0
2023-05-28 01:34:57,98,W+7.5,5,True,False,False,,-1,37.1777,0
2023-05-28 01:35:31,82,W+17.5,2,True,False,False,,-1,37.0449,0
2023-05-28 01:36:30,156,B+3.5,11,True,False,False,,-1,37.8941,0
2023-05-28 01:37:09,115,B+13.5,9,True,False,False,,-1,37.9428,0
2023-05-28 01:37:45,100,W+12.5,3,True,False,False,,-1,37.8665,0
2023-05-28 01:38:22,96,W+13.5,2,True,False,False,,-1,37.8419,0
2023-05-28 01:39:14,141,B+48.5,11,True,False,False,,-1,38.3129,0
2023-05-28 01:39:48,83,B+5.5,2,True,False,False,,-1,38.1874,0
2023-05-28 01:40:25,92,W+12.5,5,True,False,False,,-1,38.1399,0
2023-05-28 01:40:58,83,B+5.5,6,True,False,False,,-1,37.9708,0
2023-05-28 01:41:36,93,B+2.5,3,True,False,False,,-1,37.9707,0
2023-05-28 01:42:00,68,W+6.5,2,True,False,False,,-1,37.5878,0
