datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2023-05-28 03:40:18,200,4.364836692810059,0.833655834197998,0.01,20000,1994713
2023-05-28 03:40:30,400,4.335963726043701,0.8349217176437378,0.01,20000,1994713
2023-05-28 03:40:39,600,4.296743392944336,0.8150925636291504,0.01,20000,1994713
2023-05-28 03:40:48,800,4.32042121887207,0.785223126411438,0.01,20000,1994713
2023-05-28 03:40:57,1000,4.302041053771973,0.8003476858139038,0.01,20000,1994713
2023-05-28 04:28:09,1200,4.196089744567871,0.783648669719696,0.01,25000,2630527
2023-05-28 04:28:22,1400,4.159029960632324,0.781862735748291,0.01,25000,2630527
2023-05-28 04:28:31,1600,4.133763313293457,0.7515308856964111,0.01,25000,2630527
2023-05-28 04:28:40,1800,4.102523326873779,0.8393279910087585,0.01,25000,2630527
2023-05-28 04:28:48,2000,4.047921180725098,0.8061268925666809,0.01,25000,2630527
2023-05-28 05:15:29,2200,3.943643093109131,0.8286395072937012,0.01,30000,3244407
2023-05-28 05:15:42,2400,3.800590753555298,0.8095879554748535,0.01,30000,3244407
2023-05-28 05:15:52,2600,3.754912853240967,0.7925488948822021,0.01,30000,3244407
2023-05-28 05:16:01,2800,3.662174940109253,0.8269314765930176,0.01,30000,3244407
2023-05-28 05:16:10,3000,3.581951856613159,0.8169264197349548,0.01,30000,3244407
2023-05-28 06:00:34,3200,3.5800912380218506,0.832284688949585,0.01,35000,3861096
2023-05-28 06:00:46,3400,3.4214866161346436,0.8035480380058289,0.01,35000,3861096
2023-05-28 06:00:55,3600,3.4039769172668457,0.8021711111068726,0.01,35000,3861096
2023-05-28 06:01:04,3800,3.4025139808654785,0.7795289754867554,0.01,35000,3861096
2023-05-28 06:01:13,4000,3.4050369262695312,0.7852204442024231,0.01,35000,3861096
2023-05-28 06:44:07,4200,3.309300422668457,0.767371654510498,0.01,40000,4439939
2023-05-28 06:44:19,4400,3.215282917022705,0.8050119280815125,0.01,40000,4439939
2023-05-28 06:44:28,4600,3.2020506858825684,0.7973127961158752,0.01,40000,4439939
2023-05-28 06:44:36,4800,3.177396774291992,0.8010567426681519,0.01,40000,4439939
2023-05-28 06:44:45,5000,3.2020084857940674,0.7890617847442627,0.01,40000,4439939
2023-05-28 07:26:50,5200,3.168546199798584,0.7822863459587097,0.01,45000,5000154
2023-05-28 07:27:03,5400,3.122333526611328,0.7828081250190735,0.01,45000,5000154
2023-05-28 07:27:12,5600,3.0706305503845215,0.7838162183761597,0.01,45000,5000154
