datetime,game_length,game_result,time_per_game,training_steps
2023-05-24 13:25:22,27,B+1.0,12.4527,0
2023-05-24 13:25:48,64,W+1.0,19.263,0
2023-05-24 13:26:04,43,B+1.0,18.3201,0
2023-05-24 13:26:19,38,W+1.0,17.3387,0
2023-05-24 13:26:32,36,W+1.0,16.5195,0
2023-05-24 13:26:48,41,B+1.0,16.3629,0
2023-05-24 13:27:00,31,B+1.0,15.8568,0
2023-05-24 13:27:15,38,W+1.0,15.7238,0
2023-05-24 13:27:31,39,B+1.0,15.7467,0
2023-05-24 13:27:44,31,B+1.0,15.4749,0
2023-05-24 13:28:01,44,W+1.0,15.6186,0
2023-05-24 13:28:11,23,B+1.0,15.099,0
2023-05-24 13:28:29,45,B+1.0,15.3715,0
2023-05-24 13:28:39,23,B+1.0,14.9789,0
2023-05-24 13:28:55,42,W+1.0,15.0645,0
2023-05-24 13:29:11,39,B+1.0,15.1132,0
2023-05-24 13:29:29,47,B+1.0,15.3007,0
2023-05-24 13:29:39,27,B+1.0,15.0081,0
2023-05-24 13:30:04,61,B+1.0,15.5043,0
2023-05-24 13:30:15,30,W+1.0,15.2846,0
2023-05-24 13:30:33,50,W+1.0,15.4307,0
2023-05-24 13:30:52,46,W+1.0,15.5727,0
2023-05-24 13:31:03,27,B+1.0,15.3924,0
2023-05-24 13:31:24,51,B+1.0,15.6294,0
2023-05-24 13:31:44,49,B+1.0,15.777,0
2023-05-24 13:31:53,20,W+1.0,15.5079,0
2023-05-24 13:32:07,36,W+1.0,15.4747,0
2023-05-24 13:32:17,25,B+1.0,15.2667,0
2023-05-24 13:32:32,37,B+1.0,15.2593,0
2023-05-24 13:32:49,44,W+1.0,15.3268,0
2023-05-24 13:33:08,43,B+1.0,15.4364,0
2023-05-24 13:33:31,49,B+1.0,15.6666,0
2023-05-24 13:33:41,25,B+1.0,15.5027,0
2023-05-24 13:33:58,38,W+1.0,15.5372,0
2023-05-24 13:34:15,47,B+1.0,15.6022,0
2023-05-24 13:34:35,47,B+1.0,15.7028,0
2023-05-24 13:35:00,57,B+1.0,15.9525,0
2023-05-24 13:35:11,29,B+1.0,15.8205,0
2023-05-24 13:35:22,30,W+1.0,15.6993,0
2023-05-24 13:35:40,43,B+1.0,15.7537,0
2023-05-24 13:36:00,50,W+1.0,15.8595,0
2023-05-24 13:36:17,43,B+1.0,15.8906,0
2023-05-24 13:36:34,44,W+1.0,15.9282,0
2023-05-24 13:36:48,34,W+1.0,15.888,0
2023-05-24 13:37:10,53,B+1.0,16.0247,0
2023-05-24 13:37:22,26,W+1.0,15.9254,0
2023-05-24 13:37:43,52,W+1.0,16.0292,0
2023-05-24 13:37:58,37,B+1.0,16.0112,0
2023-05-24 13:38:15,41,B+1.0,16.0385,0
2023-05-24 13:38:33,44,W+1.0,16.0722,0
2023-05-24 13:38:50,40,W+1.0,16.0949,0
2023-05-24 13:39:08,44,W+1.0,16.1334,0
2023-05-24 13:39:26,40,W+1.0,16.1576,0
2023-05-24 13:39:37,29,B+1.0,16.0751,0
2023-05-24 13:39:54,45,B+1.0,16.0799,0
2023-05-24 13:40:09,37,B+1.0,16.0608,0
2023-05-24 13:40:19,24,W+1.0,15.9508,0
2023-05-24 13:40:41,53,B+1.0,16.0671,0
2023-05-24 13:41:01,48,W+1.0,16.1278,0
2023-05-24 13:41:16,34,W+1.0,16.107,0
2023-05-24 13:41:36,46,W+1.0,16.177,0
2023-05-24 13:41:47,28,W+1.0,16.0862,0
2023-05-24 13:42:05,44,W+1.0,16.1173,0
2023-05-24 13:42:18,27,B+1.0,16.0701,0
2023-05-24 13:42:37,46,W+1.0,16.1104,0
2023-05-24 13:42:56,49,B+1.0,16.158,0
2023-05-24 13:43:10,35,B+1.0,16.1294,0
2023-05-24 13:43:25,36,W+1.0,16.1123,0
2023-05-24 13:43:43,44,W+1.0,16.1363,0
2023-05-24 13:45:02,38,W+1.0,16.1829,1000
2023-05-24 13:46:03,65,B+1.0,16.8068,1000
2023-05-24 13:46:50,54,W+1.0,17.2139,1000
2023-05-24 13:47:48,63,B+1.0,17.775,1000
2023-05-24 13:48:29,46,W+1.0,18.079,1000
2023-05-24 13:49:03,42,W+1.0,18.2902,1000
2023-05-24 13:49:36,54,W+1.0,18.4865,1000
2023-05-24 13:50:05,47,B+1.0,18.6193,1000
2023-05-24 13:50:29,40,W+1.0,18.6792,1000
2023-05-24 13:51:05,60,W+1.0,18.9046,1000
2023-05-24 13:51:49,74,W+1.0,19.2161,1000
2023-05-24 13:52:06,29,B+1.0,19.1892,1000
2023-05-24 13:52:30,39,B+1.0,19.2428,1000
2023-05-24 13:52:59,47,B+1.0,19.3606,1000
2023-05-24 13:53:41,65,B+1.0,19.6282,1000
2023-05-24 13:54:10,46,W+1.0,19.7279,1000
2023-05-24 13:54:39,49,B+1.0,19.838,1000
2023-05-24 13:55:01,37,B+1.0,19.8678,1000
2023-05-24 13:55:19,30,W+1.0,19.8396,1000
2023-05-24 13:55:50,52,W+1.0,19.9645,1000
2023-05-24 13:56:22,54,W+1.0,20.0963,1000
2023-05-24 13:56:42,35,B+1.0,20.0971,1000
2023-05-24 13:57:17,58,W+1.0,20.2545,1000
2023-05-24 13:57:50,57,B+1.0,20.3909,1000
2023-05-24 13:58:30,64,W+1.0,20.6023,1000
2023-05-24 13:59:03,53,B+1.0,20.7286,1000
2023-05-24 13:59:27,41,B+1.0,20.7584,1000
2023-05-24 13:59:46,34,W+1.0,20.7425,1000
2023-05-24 14:00:21,57,B+1.0,20.8863,1000
2023-05-24 14:00:54,53,B+1.0,21.0072,1000
2023-05-24 14:01:28,54,W+1.0,21.2208,1000
2023-05-24 14:02:07,63,B+1.0,21.3574,1000
2023-05-24 14:02:29,36,W+1.0,21.4122,1000
2023-05-24 14:02:49,34,W+1.0,21.4618,1000
2023-05-24 14:03:31,68,W+1.0,21.7538,1000
2023-05-24 14:04:21,76,W+1.0,22.0978,1000
2023-05-24 14:04:45,40,W+1.0,22.2086,1000
2023-05-24 14:05:04,32,W+1.0,22.2474,1000
2023-05-24 14:06:26,51,B+1.0,22.5456,2000
2023-05-24 14:06:43,31,B+1.0,22.5474,2000
2023-05-24 14:07:09,44,W+1.0,22.715,2000
2023-05-24 14:07:44,59,B+1.0,22.8735,2000
2023-05-24 14:08:17,55,B+1.0,23.1105,2000
2023-05-24 14:08:53,59,B+1.0,23.305,2000
2023-05-24 14:09:22,55,B+1.0,23.4328,2000
2023-05-24 14:09:41,36,W+1.0,23.4408,2000
2023-05-24 14:10:05,43,B+1.0,23.5839,2000
2023-05-24 14:10:34,51,B+1.0,23.6322,2000
2023-05-24 14:11:04,54,W+1.0,23.8167,2000
2023-05-24 14:11:36,58,W+1.0,23.9512,2000
2023-05-24 14:12:13,63,B+1.0,24.139,2000
2023-05-24 14:12:42,53,B+1.0,24.3117,2000
2023-05-24 14:13:15,59,B+1.0,24.4374,2000
2023-05-24 14:13:54,68,W+1.0,24.6317,2000
2023-05-24 14:14:15,38,W+1.0,24.7569,2000
2023-05-24 14:14:51,61,B+1.0,24.9635,2000
2023-05-24 14:15:20,52,W+1.0,25.1609,2000
2023-05-24 14:15:39,34,W+1.0,25.1985,2000
2023-05-24 14:16:15,62,W+1.0,25.3905,2000
2023-05-24 14:16:49,61,B+1.0,25.5369,2000
2023-05-24 14:17:17,50,W+1.0,25.5951,2000
2023-05-24 14:17:35,32,W+1.0,25.6689,2000
2023-05-24 14:18:13,66,W+1.0,25.8793,2000
2023-05-24 14:18:39,46,W+1.0,25.9653,2000
2023-05-24 14:19:16,64,W+1.0,26.1425,2000
2023-05-24 14:19:44,51,B+1.0,26.1696,2000
2023-05-24 14:20:12,51,B+1.0,26.3433,2000
2023-05-24 14:20:47,59,B+1.0,26.5774,2000
2023-05-24 14:21:12,45,B+1.0,26.6491,2000
2023-05-24 14:21:34,41,B+1.0,26.6741,2000
2023-05-24 14:21:49,27,B+1.0,26.651,2000
2023-05-24 14:22:25,64,W+1.0,26.838,2000
2023-05-24 14:22:59,57,B+1.0,27.0337,2000
2023-05-24 14:23:18,35,B+1.0,27.0061,2000
2023-05-24 14:23:39,37,B+1.0,27.0967,2000
2023-05-24 14:24:07,52,W+1.0,27.1678,2000
2023-05-24 14:24:32,46,W+1.0,27.2646,2000
2023-05-24 14:25:00,49,B+1.0,27.3792,2000
2023-05-24 14:25:29,52,W+1.0,27.4871,2000
2023-05-24 14:27:00,55,B+1.0,27.7315,3000
2023-05-24 14:27:14,27,B+1.0,27.6997,3000
2023-05-24 14:27:34,37,B+1.0,27.7824,3000
2023-05-24 14:28:06,61,B+1.0,27.9369,3000
2023-05-24 14:28:30,49,B+1.0,28.0302,3000
2023-05-24 14:28:53,41,B+1.0,28.1537,3000
2023-05-24 14:29:38,78,W+1.0,28.3799,3000
2023-05-24 14:30:11,65,B+1.0,28.5154,3000
2023-05-24 14:30:40,53,B+1.0,28.6575,3000
2023-05-24 14:31:14,60,W+1.0,28.7886,3000
2023-05-24 14:31:36,41,B+1.0,28.9107,3000
2023-05-24 14:31:58,41,B+1.0,28.9499,3000
2023-05-24 14:32:22,44,W+1.0,29.0582,3000
2023-05-24 14:32:47,46,W+1.0,29.1181,3000
2023-05-24 14:33:05,35,B+1.0,29.1078,3000
2023-05-24 14:33:33,51,B+1.0,29.2452,3000
2023-05-24 14:33:50,32,W+1.0,29.2648,3000
2023-05-24 14:34:08,34,W+1.0,29.2631,3000
2023-05-24 14:34:31,43,B+1.0,29.3554,3000
2023-05-24 14:34:52,38,W+1.0,29.3517,3000
2023-05-24 14:35:12,37,B+1.0,28.9377,3000
2023-05-24 14:35:41,51,B+1.0,28.7676,3000
2023-05-24 14:36:18,63,B+1.0,28.5431,3000
2023-05-24 14:36:41,42,W+1.0,28.3729,3000
2023-05-24 14:37:12,59,B+1.0,28.335,3000
2023-05-24 14:37:45,61,B+1.0,28.3299,3000
2023-05-24 14:38:13,52,W+1.0,28.3254,3000
2023-05-24 14:38:33,38,W+1.0,28.2964,3000
2023-05-24 14:38:57,44,W+1.0,28.1639,3000
2023-05-24 14:39:26,54,W+1.0,28.0108,3000
2023-05-24 14:40:07,74,W+1.0,28.2522,3000
2023-05-24 14:40:22,30,W+1.0,28.1705,3000
2023-05-24 14:40:45,43,B+1.0,28.1105,3000
2023-05-24 14:41:05,38,W+1.0,27.8857,3000
2023-05-24 14:41:31,48,W+1.0,27.8664,3000
2023-05-24 14:42:05,60,W+1.0,27.9054,3000
2023-05-24 14:42:34,55,B+1.0,27.9739,3000
2023-05-24 14:43:02,50,W+1.0,28.0846,3000
2023-05-24 14:43:31,52,W+1.0,28.0594,3000
2023-05-24 14:43:55,48,W+1.0,27.9789,3000
2023-05-24 14:44:22,54,W+1.0,28.0491,3000
2023-05-24 14:44:47,46,W+1.0,27.9487,3000
2023-05-24 14:45:20,62,W+1.0,27.9512,3000
2023-05-24 14:46:59,55,B+1.0,27.8405,4000
2023-05-24 14:47:34,60,W+1.0,27.9536,4000
2023-05-24 14:47:54,40,W+1.0,27.9636,4000
2023-05-24 14:48:14,39,B+1.0,27.8115,4000
2023-05-24 14:48:40,50,W+1.0,27.7429,4000
2023-05-24 14:49:10,55,B+1.0,27.7052,4000
2023-05-24 14:49:26,30,W+1.0,27.4681,4000
2023-05-24 14:50:05,71,B+1.0,27.6353,4000
2023-05-24 14:50:26,41,B+1.0,27.6551,4000
2023-05-24 14:51:00,63,B+1.0,27.5684,4000
2023-05-24 14:51:17,32,W+1.0,27.2395,4000
2023-05-24 14:51:42,48,W+1.0,27.2505,4000
2023-05-24 14:52:05,44,W+1.0,27.2937,4000
2023-05-24 14:52:42,70,W+1.0,27.3658,4000
2023-05-24 14:53:05,45,B+1.0,27.3106,4000
2023-05-24 14:53:45,72,W+1.0,27.5295,4000
2023-05-24 14:54:14,54,W+1.0,27.5629,4000
2023-05-24 14:54:51,70,W+1.0,27.59,4000
2023-05-24 14:55:13,43,B+1.0,27.4703,4000
2023-05-24 14:55:27,27,B+1.0,27.2556,4000
2023-05-24 14:55:59,59,B+1.0,27.2871,4000
2023-05-24 14:56:21,45,B+1.0,27.3193,4000
2023-05-24 14:56:34,25,B+1.0,27.2038,4000
2023-05-24 14:57:01,50,W+1.0,27.1813,4000
2023-05-24 14:57:37,68,W+1.0,27.2482,4000
2023-05-24 14:58:01,48,W+1.0,27.1673,4000
2023-05-24 14:58:34,61,B+1.0,27.1249,4000
2023-05-24 14:58:49,28,W+1.0,26.9898,4000
2023-05-24 14:59:10,41,B+1.0,26.859,4000
2023-05-24 14:59:31,38,W+1.0,26.6809,4000
2023-05-24 14:59:50,35,B+1.0,26.6652,4000
2023-05-24 15:00:26,61,B+1.0,26.6683,4000
2023-05-24 15:00:46,36,W+1.0,26.5729,4000
2023-05-24 15:01:14,50,W+1.0,26.6689,4000
2023-05-24 15:01:39,43,B+1.0,26.5505,4000
2023-05-24 15:02:10,51,B+1.0,26.528,4000
2023-05-24 15:02:42,55,B+1.0,26.557,4000
2023-05-24 15:03:02,35,B+1.0,26.5818,4000
2023-05-24 15:03:24,40,W+1.0,26.4305,4000
2023-05-24 15:03:45,36,W+1.0,26.3686,4000
2023-05-24 15:04:11,47,B+1.0,26.2629,4000
2023-05-24 15:04:34,41,B+1.0,26.2169,4000
2023-05-24 15:06:28,64,W+1.0,26.3303,5000
2023-05-24 15:06:56,51,B+1.0,26.3576,5000
2023-05-24 15:07:29,57,B+1.0,26.4677,5000
2023-05-24 15:07:53,39,B+1.0,26.5498,5000
2023-05-24 15:08:20,46,W+1.0,26.4632,5000
2023-05-24 15:08:37,29,B+1.0,26.2908,5000
2023-05-24 15:09:00,40,W+1.0,26.3315,5000
2023-05-24 15:09:32,54,W+1.0,26.4523,5000
2023-05-24 15:09:59,44,W+1.0,26.4353,5000
2023-05-24 15:10:30,53,B+1.0,26.5003,5000
2023-05-24 15:10:47,29,B+1.0,26.3784,5000
2023-05-24 15:11:10,42,W+1.0,26.3282,5000
2023-05-24 15:11:44,60,W+1.0,26.3816,5000
2023-05-24 15:12:01,32,W+1.0,26.2341,5000
2023-05-24 15:12:28,52,W+1.0,26.3668,5000
2023-05-24 15:13:09,71,B+1.0,26.5745,5000
2023-05-24 15:13:35,44,W+1.0,26.515,5000
2023-05-24 15:14:02,48,W+1.0,26.5455,5000
2023-05-24 15:14:30,47,B+1.0,26.6023,5000
2023-05-24 15:14:43,24,W+1.0,26.2832,5000
2023-05-24 15:15:06,39,B+1.0,26.1747,5000
2023-05-24 15:15:35,50,W+1.0,26.18,5000
2023-05-24 15:16:04,53,B+1.0,26.1373,5000
2023-05-24 15:16:27,40,W+1.0,26.1361,5000
2023-05-24 15:16:46,34,W+1.0,26.1088,5000
2023-05-24 15:17:20,55,B+1.0,26.2053,5000
2023-05-24 15:17:47,46,W+1.0,26.2299,5000
2023-05-24 15:18:31,75,B+1.0,26.4875,5000
2023-05-24 15:18:51,36,W+1.0,26.4096,5000
2023-05-24 15:19:13,36,W+1.0,26.4535,5000
2023-05-24 15:19:29,30,W+1.0,26.446,5000
2023-05-24 15:19:51,37,B+1.0,26.43,5000
2023-05-24 15:20:19,48,W+1.0,26.4964,5000
2023-05-24 15:20:40,37,B+1.0,26.5123,5000
2023-05-24 15:21:04,42,W+1.0,26.4553,5000
2023-05-24 15:21:45,71,B+1.0,26.4978,5000
2023-05-24 15:22:21,64,W+1.0,26.6221,5000
2023-05-24 15:22:39,32,W+1.0,26.5005,5000
2023-05-24 15:23:08,49,B+1.0,26.4609,5000
2023-05-24 15:23:27,35,B+1.0,26.3745,5000
2023-05-24 15:23:45,30,W+1.0,26.3465,5000
2023-05-24 15:24:06,40,W+1.0,26.3201,5000
2023-05-24 15:25:21,36,W+1.0,26.0415,6000
2023-05-24 15:25:46,41,B+1.0,26.1294,6000
2023-05-24 15:26:10,42,W+1.0,26.1405,6000
2023-05-24 15:26:35,43,B+1.0,26.1932,6000
2023-05-24 15:26:56,36,W+1.0,26.1393,6000
2023-05-24 15:27:12,29,B+1.0,25.9752,6000
2023-05-24 15:27:31,33,B+1.0,25.8659,6000
2023-05-24 15:27:58,46,W+1.0,25.8588,6000
2023-05-24 15:28:28,52,W+1.0,25.8683,6000
2023-05-24 15:28:51,39,B+1.0,25.8597,6000
2023-05-24 15:29:21,54,W+1.0,25.891,6000
2023-05-24 15:29:48,47,B+1.0,25.909,6000
2023-05-24 15:30:09,36,W+1.0,25.7885,6000
2023-05-24 15:30:35,44,W+1.0,25.7326,6000
2023-05-24 15:31:00,44,W+1.0,25.6735,6000
2023-05-24 15:31:20,35,B+1.0,25.5223,6000
