datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2023-05-24 13:45:16,1000,55,B+1.0,16.0,-15.263693206478006
2023-05-24 14:06:43,2000,34,W+1.0,0.7363067935219938,32.0
2023-05-24 14:27:08,3000,39,B+1.0,16.736306793521994,-14.527386412956012
2023-05-24 14:46:58,4000,36,W+1.0,1.4726135870439876,32.73630679352199
2023-05-24 15:06:13,5000,25,B+1.0,17.472613587043988,-13.79107961943402
2023-05-24 15:25:43,6000,29,B+1.0,33.47261358704399,2.2089203805659814
2023-05-24 15:44:29,7000,43,B+1.0,49.47261358704399,18.20892038056598
2023-05-24 16:02:11,8000,15,B+1.0,65.47261358704398,34.20892038056598
2023-05-24 16:18:55,9000,19,B+1.0,81.47261358704398,50.20892038056597
2023-05-24 16:33:43,10000,24,W+1.0,66.20892038056597,97.47261358704398
2023-05-24 16:45:31,11000,14,W+1.0,50.94522717408796,82.20892038056597
2023-05-24 16:56:11,12000,14,W+1.0,35.68153396760995,66.94522717408796
2023-05-24 17:05:50,13000,19,B+1.0,51.68153396760995,20.417840761131945
2023-05-24 17:15:26,14000,13,B+1.0,67.68153396760995,36.41784076113194
2023-05-24 17:23:02,15000,11,B+1.0,83.68153396760995,52.41784076113194
2023-05-24 17:29:38,16000,15,B+1.0,99.68153396760997,68.41784076113194
2023-05-24 17:35:14,17000,9,B+1.0,115.68153396760997,84.41784076113194
2023-05-24 17:40:54,18000,9,B+1.0,131.68153396760994,100.41784076113194
2023-05-24 17:45:03,19000,16,W+1.0,116.41784076113191,147.68153396760994
2023-05-24 17:48:42,20000,24,W+1.0,101.15414755465392,132.4178407611319
2023-05-24 17:52:17,21000,21,B+1.0,117.15414755465392,85.89045434817591
2023-05-24 17:55:59,22000,9,B+1.0,133.15414755465392,101.89045434817592
2023-05-24 17:59:39,23000,15,B+1.0,149.15414755465392,117.89045434817592
2023-05-24 18:03:21,24000,16,W+1.0,133.89045434817592,165.15414755465392
2023-05-24 18:06:33,25000,13,B+1.0,149.89045434817592,118.62676114169793
2023-05-24 18:10:15,26000,15,B+1.0,165.89045434817592,134.62676114169793
2023-05-24 18:13:59,27000,21,B+1.0,181.89045434817592,150.62676114169793
2023-05-24 18:17:40,28000,23,B+1.0,197.89045434817592,166.62676114169793
2023-05-24 18:21:52,29000,15,B+1.0,213.89045434817592,182.62676114169795
2023-05-24 18:25:31,30000,12,W+1.0,198.62676114169795,229.89045434817592
2023-05-24 18:29:42,31000,20,W+1.0,183.36306793521996,214.62676114169795
2023-05-24 18:33:23,32000,14,W+1.0,168.09937472874194,199.36306793521996
2023-05-24 18:37:18,33000,14,W+1.0,152.83568152226394,184.09937472874196
2023-05-24 18:41:43,34000,23,B+1.0,168.83568152226394,137.57198831578594
2023-05-24 18:45:32,35000,20,W+1.0,153.57198831578594,184.83568152226397
2023-05-24 18:49:20,36000,20,W+1.0,138.30829510930795,169.57198831578594
2023-05-24 18:53:03,37000,19,B+1.0,154.30829510930795,123.04460190282994
2023-05-24 18:57:17,38000,19,B+1.0,170.30829510930795,139.04460190282995
2023-05-24 19:01:33,39000,15,B+1.0,186.30829510930795,155.04460190282995
2023-05-24 19:05:24,40000,19,B+1.0,202.30829510930795,171.04460190282995
2023-05-24 19:09:07,41000,17,B+1.0,218.30829510930795,187.04460190282995
2023-05-24 19:13:15,42000,13,B+1.0,234.30829510930795,203.04460190282995
2023-05-24 19:16:56,43000,20,W+1.0,219.04460190282995,250.30829510930795
2023-05-24 19:21:07,44000,21,B+1.0,235.04460190282995,203.780908696352
2023-05-24 19:25:21,45000,20,W+1.0,219.780908696352,251.04460190282995
2023-05-24 19:29:02,46000,19,B+1.0,235.780908696352,204.517215489874
2023-05-24 19:32:42,47000,19,B+1.0,251.780908696352,220.517215489874
2023-05-24 19:36:51,48000,20,W+1.0,236.517215489874,267.780908696352
2023-05-24 19:40:34,49000,14,W+1.0,221.253522283396,252.517215489874
2023-05-24 19:44:44,50000,17,B+1.0,237.253522283396,205.989829076918
2023-05-24 19:48:29,51000,15,B+1.0,253.253522283396,221.989829076918
2023-05-24 19:52:10,52000,16,W+1.0,237.989829076918,269.253522283396
2023-05-24 19:56:19,53000,17,B+1.0,253.989829076918,222.72613587044
2023-05-24 20:00:02,54000,21,B+1.0,269.989829076918,238.72613587044
2023-05-24 20:04:11,55000,11,B+1.0,285.989829076918,254.72613587044
2023-05-24 20:07:48,56000,17,B+1.0,301.989829076918,270.72613587044
2023-05-24 20:11:26,57000,12,W+1.0,286.72613587044,317.989829076918
2023-05-24 20:15:31,58000,11,B+1.0,302.72613587044,271.46244266396195
2023-05-24 20:19:07,59000,16,W+1.0,287.46244266396195,318.72613587044
2023-05-24 20:22:42,60000,9,B+1.0,303.46244266396195,272.1987494574839
2023-05-24 20:26:17,61000,9,B+1.0,319.46244266396195,288.1987494574839
2023-05-24 20:29:53,62000,9,B+1.0,335.46244266396195,304.1987494574839
2023-05-24 20:33:28,63000,9,B+1.0,351.46244266396195,320.1987494574839
2023-05-24 20:37:04,64000,9,B+1.0,367.462442663962,336.1987494574839
2023-05-24 20:40:39,65000,9,B+1.0,383.462442663962,352.1987494574839
2023-05-24 20:44:15,66000,9,B+1.0,399.462442663962,368.1987494574839
2023-05-24 20:48:20,67000,9,B+1.0,415.462442663962,384.1987494574839
2023-05-24 20:51:56,68000,9,B+1.0,431.462442663962,400.1987494574839
2023-05-24 20:55:31,69000,9,B+1.0,447.462442663962,416.1987494574839
2023-05-24 20:58:37,70000,9,B+1.0,463.462442663962,432.1987494574839
2023-05-24 21:02:13,71000,9,B+1.0,479.462442663962,448.1987494574839
2023-05-24 21:05:49,72000,9,B+1.0,495.462442663962,464.1987494574839
2023-05-24 21:09:24,73000,29,B+1.0,511.462442663962,480.1987494574839
2023-05-24 21:13:07,74000,9,B+1.0,527.462442663962,496.1987494574839
2023-05-24 21:16:43,75000,17,B+1.0,543.462442663962,512.1987494574839
